name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
Spectrum (Say My Name) - Calvin Harris Remix,Spectrum (Say My Name) EP,Florence + The Machine,1/1/2012,218190,56,0.00225,0.578,0.946,0.00412,0.0966,-3.85,0.0482,126.092,0.588,4,11,0,spotify:track:1c478uMN61yF2JOXXEtsdw,2012,edm
We Could Be Love,We Could Be Love,Hayden James,8/31/2023,189112,57,0.00506,0.608,0.739,0.000397,0.13,-6.131,0.0376,130.025,0.301,4,10,0,spotify:track:3y20RxZMr3wZMvhC78jc8O,2023,edm
Whole Lotta Drugs,Whole Lotta Drugs / Over The Edge,Dillon Francis,4/5/2024,208550,42,0.000212,0.749,0.945,0.235,0.356,-4.469,0.0738,125.986,0.253,4,9,1,spotify:track:5WYRO89wwasU6XwYVX2uGQ,2024,edm
All Nighter,DRIVE,Tiësto,4/21/2023,134880,65,0.0386,0.756,0.921,0.0546,0.327,-6.196,0.0508,124.981,0.384,4,11,0,spotify:track:3jksOdXCaDXyGiZ7L4YZbp,2023,edm
Blame (feat. John Newman),Motion,Calvin Harris,10/31/2014,212960,80,0.0287,0.414,0.857,0.00574,0.343,-4.078,0.0808,128.024,0.348,4,0,0,spotify:track:07nH4ifBxUB4lZcsf44Brn,2014,edm
Come My Way,Come My Way,JLV,5/28/2020,148064,47,0.0987,0.81,0.645,0.0246,0.181,-5.672,0.0451,124.014,0.341,4,4,0,spotify:track:3bhY7kp9joVSQvCHMxbr5M,2020,edm
Fly Kicks - Wax Motif Remix,Night Bass Remixed Vol. 1,Various Artists,7/7/2017,278400,48,0.0187,0.897,0.692,0.725,0.0603,-4.985,0.0492,125.023,0.607,4,11,0,spotify:track:26xlCgHpcF4GE0FFVsS6Oy,2017,edm
Head & Heart (feat. MNEK) - Tiësto Remix,Head & Heart (feat. MNEK) - Tiësto Remix,Joel Corry,9/15/2020,124778,58,0.0689,0.693,0.866,0,0.145,-4.964,0.0498,126.002,0.663,4,5,0,spotify:track:1ohLQfIwj9NUN7e5UKeDl9,2020,edm
Million Voices - Radio Edit,Million Voices,Otto Knows,1/1/2012,192866,65,0.0022,0.582,0.894,0.0223,0.0664,-6.298,0.041,125.946,0.0694,4,8,1,spotify:track:0MOiv7WTXCqvm89lVCf9C8,2012,edm
Where You Are,Where You Are,John Summit,3/3/2023,236000,69,0.00879,0.567,0.83,0.0105,0.529,-6.402,0.0349,126.04,0.0726,4,9,0,spotify:track:4qDpLaFGf5ampf2DXD2TMA,2023,edm
